City_ID,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date(of Weather Data)
190,saint george,37.1,-113.58,62.6,33,1,4.7,US,04/01/2020
191,qaanaaq,77.48,-69.36,2.8,88,100,5.1,GL,04/01/2020
192,christchurch,-43.53,172.63,66.2,63,3,6.93,NZ,04/01/2020
193,kanadey,53.17,47.53,30.76,89,8,13.27,RU,04/01/2020
194,ambulu,-8.35,113.61,84.67,67,32,2.44,ID,04/01/2020
195,vadamadurai,10.47,78.08,80.04,51,79,2.44,IN,04/01/2020
196,tevriz,57.51,72.4,32.41,90,100,7,RU,04/01/2020
197,nata,8.33,-80.52,75.99,46,2,5.01,PA,04/01/2020
198,asau,46.43,26.4,24.01,79,13,4.7,RO,04/01/2020
199,chokurdakh,70.63,147.92,1.31,92,93,3.22,RU,04/01/2020
200,avera,33.19,-82.53,57.2,100,90,9.17,US,04/01/2020
201,de aar,-30.65,24.01,58.96,56,13,12.28,ZA,04/01/2020
202,goulburn,-34.75,149.72,77,38,7,1.01,AU,04/01/2020
203,hasaki,35.73,140.83,57.2,93,75,10.29,JP,04/01/2020
204,saldanha,-33.01,17.94,57.2,76,0,8.05,ZA,04/01/2020
205,vershino-darasunskiy,52.35,115.52,40.68,42,1,13.82,RU,04/01/2020
206,moroto,2.53,34.67,68.32,54,9,3.58,UG,04/01/2020
207,new norfolk,-42.78,147.06,70,48,75,11.41,AU,04/01/2020
208,nizwa,22.93,57.53,72,52,0,1.54,OM,04/01/2020
209,praia,14.92,-23.51,73.4,69,100,9.17,CV,04/01/2020
210,gerede,40.8,32.2,34.5,65,100,3.83,TR,04/01/2020
211,namibe,-15.2,12.15,74.43,71,6,7.47,AO,04/01/2020
212,alyangula,-13.85,136.42,89.6,62,75,8.05,AU,04/01/2020
213,dingle,11,122.67,87.58,54,20,12.77,PH,04/01/2020
214,maldonado,-34.67,-54.92,66.2,88,22,10.29,UY,04/01/2020
215,the valley,18.22,-63.06,77,69,20,4.7,AI,04/01/2020
216,inuvik,68.35,-133.72,15.8,33,5,9.17,CA,04/01/2020
217,mkokotoni,-5.88,39.25,80.6,94,75,4.76,TZ,04/01/2020
218,mildura,-34.2,142.15,59,100,40,10.29,AU,04/01/2020
219,port elizabeth,-33.92,25.57,60.8,93,75,8.05,ZA,04/01/2020
220,caudry,50.12,3.41,35.6,91,0,9.17,FR,04/01/2020
221,serafimovich,49.58,42.74,28,80,0,11.36,RU,04/01/2020
222,rio brilhante,-21.8,-54.55,73.58,69,55,5.53,BR,04/01/2020
223,lumphat,13.49,106.98,100.02,30,20,2.73,KH,04/01/2020
224,fayaoue,-20.65,166.53,78.98,81,78,21.85,NC,04/01/2020
225,bijar,35.87,47.61,36.73,49,64,6.15,IR,04/01/2020
226,sao filipe,14.9,-24.5,72.43,82,100,11.59,CV,04/01/2020
227,sitka,57.05,-135.33,37.4,44,20,6.93,US,04/01/2020
228,luderitz,-26.65,15.16,62.6,59,0,13.87,NA,04/01/2020
229,waingapu,-9.66,120.26,86.31,62,22,5.97,ID,04/01/2020
230,paris,48.85,2.35,37.4,64,0,5.82,FR,04/01/2020
231,ostersund,63.18,14.64,32,91,89,21.92,SE,04/01/2020
232,vardo,70.37,31.11,21.2,92,75,16.11,NO,04/01/2020
233,tambopata,-12.73,-69.18,74.89,86,100,1.63,PE,04/01/2020
234,bredasdorp,-34.53,20.04,62.6,77,10,6.93,ZA,04/01/2020
235,omsukchan,62.53,155.8,15.57,83,67,8.3,RU,04/01/2020
236,college,64.86,-147.8,28.4,30,20,8.05,US,04/01/2020
237,bathsheba,13.22,-59.52,77,69,20,10.29,BB,04/01/2020
238,makakilo city,21.35,-158.09,78.8,78,20,3.36,US,04/01/2020
239,faanui,-16.48,-151.75,83.05,75,8,11.72,PF,04/01/2020
240,carnarvon,-24.87,113.63,77,65,100,16.11,AU,04/01/2020
241,vilhena,-12.74,-60.15,70.54,81,36,2.13,BR,04/01/2020
242,los llanos de aridane,28.66,-17.92,62.6,72,90,3.36,ES,04/01/2020
243,georgetown,5.41,100.34,89.6,70,20,1.12,MY,04/01/2020
244,catazaja,17.73,-92.02,79.27,70,34,5.17,MX,04/01/2020
